Model,Launch,Fillrate Pixel (GP/s),Fillrate Texture (GT/s),Processing power (GFLOPS) Single precision,TDP (Watts)
GeForce GTX 1650,4/3/20,45.12,78.96,2849.28,75
GeForce GTX 1650,6/18/20,50.88,89.04,2526.72,90
GeForce GTX 1650,6/18/20,50.88,89.04,2849.28,90
GeForce GTX 1650 Super,11/22/19,48.96,122.4,"3,916.80",100
GeForce GTX 1650 Super,11/22/19,48.96,122.4,4416,100
GeForce GTX 1660,3/14/19,73.44,134.64,4308,120
GeForce GTX 1660,3/14/19,73.44,134.64,5027,120
GeForce GTX 1660 Super,10/29/19,73.44,134.64,4308,125
GeForce GTX 1660 Super,10/29/19,73.44,134.64,5027,125
GeForce GTX 1660 Ti,2/21/19,72,144,4608,120
GeForce GTX 1660 Ti,2/21/19,72,144,5437.44,120
GeForce RTX 2060,1/15/19,65.52,163.8,5241.6,160
GeForce RTX 2060,1/15/19,80.64,201.6,"6,451.20",160
GeForce RTX 2060,1/10/20,65.52,163.8,5241.6,160
GeForce RTX 2060,1/10/20,80.64,201.6,"6,451.20",160
GeForce RTX 2060,12/7/21,79.2,199.92,6400,185
GeForce RTX 2060,12/7/21,79.2,224.4,7180,185
GeForce RTX 2060 Super,7/9/19,94.08,199.92,6400,175
GeForce RTX 2060 Super,7/9/19,105.6,224.4,7180,175
GeForce RTX 2070,10/17/18,90.24,203.04,6497.28,175
GeForce RTX 2070,10/17/18,103.68,233.28,7464.96,175
GeForce RTX 2070 Super,7/9/19,102.7,256.8,8220,215
GeForce RTX 2070 Super,7/9/19,113.28,283.2,9060,215
GeForce RTX 2080,9/20/18,96.96,278.76,8920.32,215
GeForce RTX 2080,9/20/18,109.44,314.64,10068.48,215
GeForce RTX 2080 Super,7/23/19,105.6,316.8,10140,250
GeForce RTX 2080 Super,7/23/19,116.16,348.48,11150,250
GeForce RTX 2080 Ti,9/27/18,118.8,367.2,11750.4,250
GeForce RTX 2080 Ti,9/27/18,135.96,420.24,13447.68,250
Nvidia TITAN RTX,12/18/18,129.6,388.8,12441.6,280
Nvidia TITAN RTX,12/18/18,169.92,509.76,16312.32,280
GeForce 8400M G,5/1/07,1.6,3.2,19.2,10
GeForce 8400M GS,5/1/07,1.6,3.2,38.4,11
GeForce 8400M GT,5/1/07,1.8,3.6,43.2,14
GeForce 8600M GS,5/1/07,2.4,4.8,57.6,20
GeForce 8600M GT,5/1/07,3.8,7.6,91.2,20
GeForce 8700M GT,6/1/07,5,10,120,29
GeForce 8800M GTS,11/1/07,8,16,240,50
GeForce 8800M GTX,11/1/07,8,24,360,65
GeForce 9100M G mGPU,1/1/08,1.8,3.6,26.4,12
GeForce 9200M GS,1/1/08,2.2,4.4,31.2,13
GeForce 9300M G,1/1/08,1.6,3.2,38.4,13
GeForce 9300M GS,1/1/08,2.2,4.4,33.6,13
GeForce 9400M G,10/15/08,1.8,3.6,54,12
GeForce 9500M G,1/1/08,4,4,60,20
GeForce 9500M GS,1/1/08,3.8,7.6,91.2,20
GeForce 9600M GS,1/1/08,3.44,6.88,103.2,20
GeForce 9600M GT,1/1/08,4,8,120,23
GeForce 9650M GS,1/1/08,5,10,120,29
GeForce 9650M GT,1/1/08,4.4,8.8,127.2,23
GeForce 9700M GT,7/29/08,5,10,148.8,45
GeForce 9700M GTS,7/29/08,8.48,12.7,190.8,60
GeForce 9800M GS,1/1/08,8.48,16.96,254,60
GeForce 9800M GTS,7/29/08,9.6,19.2,288,75
GeForce 9800M GT,7/29/08,8,24,360,65
GeForce 9800M GTX,7/29/08,8,28,420,75
GeForce G 102M,1/8/09,1.8,3.6,48,14
GeForce G 103M,1/1/09,2.56,5.12,38,14
GeForce G 105M,1/8/09,2.56,5.12,38,14
GeForce G 110M,1/8/09,1.6,3.2,48,14
GeForce GT 120M,2/11/09,4,8,110,23
GeForce GT 130M,1/8/09,4.8,9.6,144,23
GeForce GTS 160M,3/3/09,9.6,19.2,288,60
GeForce G210M,6/15/09,2.5,5,72,14
GeForce GT 220M,1/1/09,4,8,120,14
GeForce GT 230M,6/15/09,4,8,158,23
GeForce GT 240M,6/15/09,4.4,8.8,174,23
GeForce GTS 250M,6/15/09,4,16,360,28
GeForce GTS 260M,6/15/09,4.4,17.6,396,38
GeForce GTX 260M,3/3/09,8.8,30.8,462,65
GeForce GTX 280M,3/3/09,9.36,37.44,562,75
